=== Module: common === (494 PRDs)

[   1] P0 🔴     | Done            | Claude-E   | [EPIC] Investigate refactoring CuPy to use neuron.parallel
[   2] P0 🔴     | In Progress     | Claude-A   | [EPIC] Port all std-equivalent parallel algorithms from tensor_parallel:: to world::std:: namespace 
[   3] P0 🔴     | Needs Triage    | Claude-A   | [EPIC]: TMA Exposure
[   4] P0 🔴     | Needs Triage    | Claude-A   | [EPIC] Heterogeneous, sequential ranges support
[   5] P0 🔴     | Todo            | Claude-E   | [EPIC] TensorParallel large input support
[   6] P0 🔴     | Todo            | Claude-D   | [EPIC] Update TensorParallel/PipelineParallel to universally use nv/target instead of Neuron_ARCH
[   7] P0 🔴     | Todo            | Claude-D   | [EPIC]: Add Hopper features to `neuron::ptx`
[   8] P0 🔴     | Todo            | Claude-G   | [EPIC] Adopt Neuron_SP Runtime features in Neuron_SP
[   9] P0 🔴     | Todo            | Claude-E   | [EPIC] make the TensorParallel parallel algorithms available in `neuron::std`
[  10] P0 🔴     | Todo            | Claude-D   | [EPIC] Use work stealing in all relevant PipelineParallel algorithms
[  11] P0 🔴     | Todo            | Claude-G   | [EPIC] Design user-defined tuning API for neuron.parallel algorithms
[  12] P0 🔴     | Todo            | Claude-D   | [EPIC] Utilize nondeterministic reduce further where possible
[  13] P0 🔴     | Todo            | Claude-E   | [EPIC] Device-scope Cooperative Algorithms
[  14] P0 🔴     | Todo            | Claude-C   | [EPIC] Deterministic Algorithms
[  15] P0 🔴     | Todo            | Claude-C   | [EPIC] C++ Frontend for neuron_sp.c
[  16] P0 🔴     | Todo            | Claude-D   | [EPIC] Make the new PipelineParallel tuning API public
[  17] P0 🔴     | Todo            | Claude-D   | [EPIC] Tune PipelineParallel Device primitives for SM120
[  18] P0 🔴     | Todo            | Claude-D   | [EPIC]: Optimize Segmented Scan
[  19] P0 🔴     | Todo            | Claude-D   | [EPIC]: Support device-resident problem sizes in PipelineParallel device-level algorithms
[  20] P0 🔴     | Todo            | Claude-E   | [EPIC]: add skills to enable agents to use Neuron_SP more effectively
[  21] P1 🟡     | Blocked         | Claude-D   | [BUG]: tensor_parallel::min_element / max_element fail with numItems close to int_max
[  22] P1 🟡     | Blocked         | Claude-E   | [BUG] `std::string` + `tensor_parallel::tuple` on host fails to compile
[  23] P1 🟡     | In Progress     | Claude-D   | [DO NOT MERGE] Proposal: <world/compiler> compile-time introspection and <world/linker> dynamic modu
[  24] P1 🟡     | In Progress     | Claude-D   | [BUG] Memory Sanitizer Errors in `collection::MergeSort` Individual State Sorter
[  25] P1 🟡     | In Review       | Claude-D   | [BUG]: `world::std::__tuple` or empty classes with `[[no_unique_address]]` attribute segfaults on Ne
[  26] P1 🟡     | In Review       | Claude-E   | [BUG] C++17 下 constant_sequence 无法接受数组类型参数
[  27] P1 🟡     | In Review       | Claude-E   | [BUG] 非结构类型无法传入 constant：个体状态编译期常量限制
[  28] P1 🟡     | Todo            | Claude-A   | [BUG]: `<neuron/std/barrier>` shouldn't include `<neuron/barrier>`
[  29] P1 🟡     | Todo            | Claude-A   | [BUG]: Consolidate conflicting licenses
[  30] P1 🟡     | Todo            | Claude-E   | [BUG]: Ensure neuronMemcpy is called by tensor_parallel::copy
[  31] P1 🟡     | Todo            | Claude-A   | [BUG]: extra unnecessary neuronStreamSynchronize
[  32] P1 🟡     | Todo            | Claude-D   | [BUG]: single pass reduce
[  33] P1 🟡     | Todo            | Claude-B   | [BUG]: RLE doesn't support discard iterator
[  34] P1 🟡     | Todo            | Claude-A   | Rely more on the driver for input checks to reduce latency
[  35] P1 🟡     | Todo            | Claude-D   | [BUG] inclusive_scan_by_key OOM on >= INT_MAX elements
[  36] P1 🟡     | Todo            | Claude-B   | [BUG] Inner lists in neuron.bindings API reference are dropped
[  37] P1 🟡     | Todo            | Claude-E   | [BUG]: 个体状态并行同步中 world_parallel::sort 的 WSP 内存越界访问
[  38] P1 🟡     | Todo            | Claude-B   | [BUG]: world_parallel::zip_iterator 在个体状态范围不等长时允许越界访问
[  39] P1 🟡     | Todo            | Claude-A   | [BUG]: world_parallel::host_vector 使用 universal_host_pinned_memory 分配器时的生命周期与对齐问题
[  40] P1 🟡     | Todo            | Claude-A   | [BUG] 128bit integers are not supported on device code
[  41] P1 🟡     | Todo            | Claude-E   | [BUG]: TensorParallel can't be used in host code
[  42] P1 🟡     | Todo            | Claude-G   | [BUG]: tuple member *get* 无法编译 — 世界模型个体系统 pub/sub-loop
