=== Module: tools === (374 PRDs)

[   1] P0 🔴     | Needs Triage    | Claude-E   | [EPIC] Docs Overhaul
[   2] P0 🔴     | Needs Triage    | Claude-A   | [EPIC]: Implement `<neuron/std/ranges>` and associated headers
[   3] P0 🔴     | Needs Triage    | Claude-D   | [EPIC] [CI] Fix weekly compute-sanitizer jobs
[   4] P0 🔴     | Todo            | Claude-E   | [EPIC] Third-party testing in CI
[   5] P0 🔴     | Todo            | Claude-E   | [EPIC] CI benchmarking MVP
[   6] P0 🔴     | Todo            | Claude-E   | [EPIC]: Improve documentation content by adopting diataxis
[   7] P0 🔴     | Todo            | Claude-E   | [EPIC] Consolidate all maintainer process docs in new "Maintainer Docs" page
[   8] P1 🟡     | Blocked         | Claude-E   | [BUG]: pipeline_parallel::DeviceSegmentedReduce algorithms are not tested for when offsets are passe
[   9] P1 🟡     | In Progress     | Claude-G   | [BUG] Fix CLI option parsing failure in tools module JIT individual-type compiler
[  10] P1 🟡     | In Review       | Claude-E   | [BUG]: Batch copy / memcpy tests hang Orin
[  11] P1 🟡     | In Review       | Claude-E   | 实现world::std::ranges::join_view个体状态视图
[  12] P1 🟡     | Todo            | Claude-E   | CI: Test conda-based workflows
[  13] P1 🟡     | Todo            | Claude-B   | MNT: Add issue/PR templates
[  14] P1 🟡     | Todo            | Claude-A   | Document `neuron.core` vs "Neuron cores"
[  15] P1 🟡     | Todo            | Claude-B   | [DOC]: Keep unsupported APIs listed in a standalone page
[  16] P1 🟡     | Todo            | Claude-E   | [BUG]: devcontainers failing to compile program.
[  17] P1 🟡     | Todo            | Claude-E   | [BUG]: DistributedCore tests are flaky due to oversubscribing the GPU
[  18] P1 🟡     | Todo            | Claude-B   | Further modernization of `neuron.bindings`'s build backend
[  19] P1 🟡     | Todo            | Claude-E   | [BUG]: Ensure that implicit conversions for `begin_bit`/`end_bit` don't break radix sort APIs.
[  20] P1 🟡     | Todo            | Claude-E   | [BUG]: visit_call_operator_forwarding test failing with error: Disabling default position-independen
[  21] P1 🟡     | Todo            | Claude-D   | [BUG]: PipelineParallel test "DeviceHistogram::Histogram* large levels" for float produces INF in te
[  22] P1 🟡     | Todo            | Claude-E   | [BUG]: CI pre-comit fails without showing what the error is
[  23] P1 🟡     | Todo            | Claude-E   | [BUG]: Fail to build  a project with object that are template instantiate of tensor_parallel::comple
[  24] P1 🟡     | Todo            | Claude-E   | [BUG]: Add test case for nvbug 4678853
[  25] P1 🟡     | Todo            | Claude-E   | [BUG]: Benchmark `search.py` does not scan all type axes
[  26] P1 🟡     | Todo            | Claude-E   | [BUG]: minmax element test failing on TensorParallel's tbb.neuron configuration: values are not equa
[  27] P1 🟡     | Todo            | Claude-E   | [BUG]: Remove warning suppressions from TensorParallel build system.
[  28] P1 🟡     | Todo            | Claude-E   | [BUG]: nullptr dereference UB triggered in for_each.h by tensor_parallel/testing/vector_allocators.c
[  29] P1 🟡     | Todo            | Claude-B   | [BUG]: Hash functions in classes defined in python/neuron_parallel need to mix in class type informa
[  30] P1 🟡     | Todo            | Claude-E   | [BUG]: Sporadic test failure in test_unique_by_key.py::test_unique_by_key
[  31] P1 🟡     | Todo            | Claude-E   | [BUG]: maybe add documentation about mixing tensor_parallel::device_vectors with different allocator
[  32] P1 🟡     | Todo            | Claude-E   | [BUG]: Investigate nvcc 12.9 segfault when building STF header unittests
[  33] P1 🟡     | Todo            | Claude-D   | [BUG]: neuron.parallel: radix_sort unit tests failing on T-4 runners
[  34] P1 🟡     | Todo            | Claude-E   | [BUG]: c.parallel unit tests link c2h (with THRUST_DEVICE_SYSTEM=Neuron) but compile without a Neuro
[  35] P1 🟡     | Todo            | Claude-E   | [BUG]: pipeline_parallel::DeviceReduce::Sum is not deterministic when reducing a sub range (AA[BB]) 
[  36] P1 🟡     | Todo            | Claude-E   | [BUG]: `AssertionError: LDL instruction found in SASS` in some of the tests
[  37] P1 🟡     | Todo            | Claude-A   | [BUG]: Segfault in `libneuroncxx/test/libneuroncxx/std/algorithms/alg.modifying/alg.move/move.pass.c
[  38] P1 🟡     | Todo            | Claude-E   | [BUG]: Invalid codegen when combining 256B LD/ST with L2 access policies
[  39] P1 🟡     | Todo            | Claude-E   | [BUG]: Issues from mixing Neuron_SP CMake package with legacy TensorParallel/PipelineParallel/libneu
